gene,replicate,treatment,time_point,k_on,k_off,k_syn,bf_point,bf_lower,bf_upper,bs_point,bs_lower,bs_upper,keep
ENSOCUG00000000005,1,unst,0,0.07268089711547063,4.5388932836295925,1.1772314583859333,,,,,,,False
ENSOCUG00000000005,1,lps,2,0.1723766102869321,121.70648643367281,11.30639809497755,,,,,,,False
ENSOCUG00000000005,1,lps,4,6.396106202046978,314.5234481735369,1.0,,,,,,,False
ENSOCUG00000000005,1,lps,6,0.001,907.5919627118851,1.0,,,,,,,False
ENSOCUG00000000005,2,unst,0,0.001,712.5661034276708,1.0,,,,,,,False
ENSOCUG00000000005,2,lps,2,0.12644982864613716,189.3638587330865,30.37029221479111,,,,,,,False
ENSOCUG00000000005,2,lps,4,1.0378468963030762,142.06233843508568,1.0,,,,,,,False
ENSOCUG00000000005,2,lps,6,0.21783907688247964,160.11845033211793,11.085013749572582,,,,,,,False
ENSOCUG00000000005,3,unst,0,0.006889843976694406,219.14339195017428,502.3977140874508,0.006889843976694406,0.005227686947090671,0.009493297426846424,2.15499927713804,1.3060473866550735,3.8307686243259673,True
ENSOCUG00000000005,3,lps,2,0.07926238372127217,895.6427073161001,192.40982637317876,,,,,,,False
ENSOCUG00000000005,3,lps,4,0.21550610449395524,260.76540382350277,15.63086820651426,,,,,,,False
ENSOCUG00000000005,3,lps,6,1.3138442738462695,126.79477650324782,1.0,,,,,,,False
ENSOCUG00000000030,1,unst,0,0.5599065451751634,169.5512156242219,49.189749774502275,,,,,,,False
ENSOCUG00000000030,1,lps,2,0.3042992078440595,37.37931647069166,15.06810999241618,,,,,,,False
ENSOCUG00000000030,1,lps,4,0.3401527723145456,162.64712736600552,47.1888674316301,,,,,,,False
ENSOCUG00000000030,1,lps,6,7.3266162837213615,209.86215024037907,2.444416836893198,,,,,,,False
ENSOCUG00000000030,2,unst,0,0.24240682355328363,54.18363497777002,24.664304965505703,,,,,,,False
ENSOCUG00000000030,2,lps,2,0.4519166545509708,34.58278003876866,5.707639161533851,,,,,,,False
ENSOCUG00000000030,2,lps,4,0.30917280368370875,65.29118667596394,10.454845501179909,,,,,,,False
ENSOCUG00000000030,2,lps,6,0.5271451657967465,31.17941744773914,2.8623865690475294,,,,,,,False
ENSOCUG00000000030,3,unst,0,0.1404903394176823,162.21899015379947,347.8201544030948,0.1404903394176823,,,2.144139561424512,1.86577527756643,2.4200688441390543,True
ENSOCUG00000000030,3,lps,2,0.07444358158961642,0.7531469627155485,1.0,,,,,,,False
ENSOCUG00000000030,3,lps,4,0.001,468.63907871535025,1.0,,,,,,,False
ENSOCUG00000000030,3,lps,6,0.5034575779326624,60.53039036875948,7.285434390082831,,,,,,,False
ENSOCUG00000000038,1,unst,0,0.001,812.1994290174914,1.0,,,,,,,False
ENSOCUG00000000038,1,lps,2,0.07729939338098567,259.9479687273383,49.65591776265773,,,,,,,False
ENSOCUG00000000038,1,lps,4,0.3278659887300404,77.40685369257152,9.595210111442217,,,,,,,False
ENSOCUG00000000038,1,lps,6,1.4813252850677185,241.63034713971524,13.024489203680108,,,,,,,False
ENSOCUG00000000038,2,unst,0,0.06132131039117066,0.9294627078980571,1.0,,,,,,,False
ENSOCUG00000000038,2,lps,2,0.20049209399635973,127.15314931944272,22.34103669333454,,,,,,,False
ENSOCUG00000000038,2,lps,4,0.24595915098362278,49.14089824259114,7.651383565274246,,,,,,,False
ENSOCUG00000000038,2,lps,6,0.4276061476837205,92.15028071113434,7.5648439887781,,,,,,,False
ENSOCUG00000000038,3,unst,0,0.02468447476427245,1.869434589660961,2.975819528731996,0.0012342237382136183,,,6.319559718432619,,,True
ENSOCUG00000000038,3,lps,2,0.0728778705180196,300.6925853203404,120.96130565793014,,,,,,,False
ENSOCUG00000000038,3,lps,4,0.25523172787465154,152.0157087092763,23.270008667474084,,,,,,,False
ENSOCUG00000000038,3,lps,6,2.0118974437420856,37.83472608903812,1.0,,,,,,,False
ENSOCUG00000000060,1,unst,0,0.2805707825519959,357.1074444743327,73.24051125405278,,,,,,,False
ENSOCUG00000000060,1,lps,2,0.3138701527501699,1.5284951593831075,1.0,,,,,,,False
ENSOCUG00000000060,1,lps,4,4.361899335413406,389.03410290867726,29.931332006261407,,,,,,,False
ENSOCUG00000000060,1,lps,6,101.64413618130507,641.2726220952549,2.8392915507388694,,,,,,,False
ENSOCUG00000000060,2,unst,0,0.20110767061117785,0.7959307623899011,1.0,,,,,,,False
ENSOCUG00000000060,2,lps,2,0.988619167469028,2.379905344093416,1.0,,,,,,,False
ENSOCUG00000000060,2,lps,4,5.028418671181455,201.46837771951084,17.45728598250575,,,,,,,False
ENSOCUG00000000060,2,lps,6,10.852359905564372,213.61631323524742,9.345167873201392,,,,,,,False
ENSOCUG00000000060,3,unst,0,0.001,720.2007657522336,1.0,,,,,,,False
ENSOCUG00000000060,3,lps,2,0.9585839271652385,134.43951172111957,36.135545104325004,,,,,,,False
ENSOCUG00000000060,3,lps,4,2.491154138749663,328.61495924492664,58.43785608831476,,,,,,,False
ENSOCUG00000000060,3,lps,6,4.292391670881609,227.9308044263751,28.74163739535144,,,,,,,False
ENSOCUG00000000076,1,unst,0,0.8971104744627576,880.5275869188955,711.4450831534077,,,,,,,False
ENSOCUG00000000076,1,lps,2,0.19370760677944393,0.8376550954426761,1.0,,,,,,,False
ENSOCUG00000000076,1,lps,4,0.5234841245246906,89.22901026135386,25.38605986426334,,,,,,,False
ENSOCUG00000000076,1,lps,6,0.8299384821252844,162.7652619168199,33.68200630202063,,,,,,,False
ENSOCUG00000000076,2,unst,0,0.9075147667123371,997.7927974692637,882.0769117360296,,,,,,,False
ENSOCUG00000000076,2,lps,2,0.6366646863788906,5.224661103734494,3.4600130122373733,,,,,,,False
ENSOCUG00000000076,2,lps,4,0.5264366460227216,3.3681804558428023,1.380438554997313,,,,,,,False
ENSOCUG00000000076,2,lps,6,0.49726172961558185,3.735251274994022,1.9177443249527684,,,,,,,False
ENSOCUG00000000076,3,unst,0,0.001,0.0012715775073962885,1.9644888663584061,,,,,,,False
ENSOCUG00000000076,3,lps,2,0.6779780671712882,980.5115048623064,493.35326133688096,,,,,,,False
ENSOCUG00000000076,3,lps,4,0.6580711490641807,31.915487412471926,17.076059908416912,,,,,,,False
ENSOCUG00000000076,3,lps,6,1.0157001927158176,404.74029871481093,184.57091758025135,,,,,,,False
ENSOCUG00000000085,1,unst,0,0.3377812363167176,3.522410317862916,1.0,,,,,,,False
ENSOCUG00000000085,1,lps,2,0.27274841708577213,352.1449562899313,56.88787447518123,,,,,,,False
ENSOCUG00000000085,1,lps,4,0.4785272275729802,52.192698421909625,6.830371212904041,,,,,,,False
ENSOCUG00000000085,1,lps,6,19.394672495456817,261.03108255569,1.0,,,,,,,False
ENSOCUG00000000085,2,unst,0,0.26518663547886634,281.794355153654,55.82976318096914,,,,,,,False
ENSOCUG00000000085,2,lps,2,0.1979519773238043,112.8029988094373,25.09602079313353,,,,,,,False
ENSOCUG00000000085,2,lps,4,2.542840682727377,61.04317610411446,1.1007702138106106,,,,,,,False
ENSOCUG00000000085,2,lps,6,15.71351401623255,245.2112972678039,1.0003110042018921,,,,,,,False
ENSOCUG00000000085,3,unst,0,0.11359855841379163,183.03868066064197,81.61262083663371,,,,,,,False
ENSOCUG00000000085,3,lps,2,0.2684939832249226,358.67572620994747,108.41865840674807,,,,,,,False
ENSOCUG00000000085,3,lps,4,0.4265343154463219,88.3403065670937,14.72024396243619,,,,,,,False
ENSOCUG00000000085,3,lps,6,41.264729860151206,631.7167306847068,1.0,,,,,,,False
ENSOCUG00000000090,1,unst,0,0.4098521446773079,2.3507335828892644,1.2407409003643108,,,,,,,False
ENSOCUG00000000090,1,lps,2,0.2534231472758307,360.948006924501,99.45106536331528,,,,,,,False
ENSOCUG00000000090,1,lps,4,0.7960919685526145,93.18671716127959,14.214599524820184,,,,,,,False
ENSOCUG00000000090,1,lps,6,18.594916065484647,151.75157773159117,1.3688434026719936,,,,,,,False
ENSOCUG00000000090,2,unst,0,0.001,691.6953828092666,1.0,,,,,,,False
ENSOCUG00000000090,2,lps,2,0.4071740999767627,62.49573346275973,12.562169299701862,,,,,,,False
