gene,in_subset
ENSMUSG00000000001,False
ENSMUSG00000000056,False
ENSMUSG00000000058,False
ENSMUSG00000000078,False
ENSMUSG00000000149,False
ENSMUSG00000000184,True
ENSMUSG00000000194,False
ENSMUSG00000000247,False
ENSMUSG00000000253,False
ENSMUSG00000000275,False
ENSMUSG00000000295,False
ENSMUSG00000000326,False
ENSMUSG00000000339,False
ENSMUSG00000000340,False
ENSMUSG00000000409,False
ENSMUSG00000000440,False
ENSMUSG00000000532,False
ENSMUSG00000000552,False
ENSMUSG00000000555,False
ENSMUSG00000000568,False
ENSMUSG00000000628,False
ENSMUSG00000000631,False
ENSMUSG00000000686,False
ENSMUSG00000000776,False
ENSMUSG00000000805,False
ENSMUSG00000000838,False
ENSMUSG00000000881,False
ENSMUSG00000000958,False
ENSMUSG00000000959,False
ENSMUSG00000000982,True
ENSMUSG00000001052,False
ENSMUSG00000001062,False
ENSMUSG00000001098,False
ENSMUSG00000001131,True
ENSMUSG00000001138,False
ENSMUSG00000001156,False
ENSMUSG00000001248,False
ENSMUSG00000001366,False
ENSMUSG00000001416,False
ENSMUSG00000001419,False
ENSMUSG00000001435,False
ENSMUSG00000001467,False
ENSMUSG00000001552,False
ENSMUSG00000001630,False
ENSMUSG00000001707,False
ENSMUSG00000001741,False
ENSMUSG00000001755,False
ENSMUSG00000001774,False
ENSMUSG00000001783,False
ENSMUSG00000001785,False
ENSMUSG00000001786,False
ENSMUSG00000001833,False
ENSMUSG00000001924,False
ENSMUSG00000001995,False
ENSMUSG00000002068,False
ENSMUSG00000002100,False
ENSMUSG00000002104,False
ENSMUSG00000002107,False
ENSMUSG00000002222,False
ENSMUSG00000002227,False
ENSMUSG00000002289,False
ENSMUSG00000002307,False
ENSMUSG00000002325,False
ENSMUSG00000002329,False
ENSMUSG00000002365,False
ENSMUSG00000002409,False
ENSMUSG00000002477,False
ENSMUSG00000002578,False
ENSMUSG00000002602,True
ENSMUSG00000002658,False
ENSMUSG00000002699,False
ENSMUSG00000002728,False
ENSMUSG00000002731,False
ENSMUSG00000002733,False
ENSMUSG00000002767,False
ENSMUSG00000002781,False
ENSMUSG00000002820,False
ENSMUSG00000002844,False
ENSMUSG00000002845,False
ENSMUSG00000002847,False
ENSMUSG00000002870,False
ENSMUSG00000002871,False
ENSMUSG00000002885,False
ENSMUSG00000002897,False
ENSMUSG00000002980,False
ENSMUSG00000002997,False
ENSMUSG00000003032,False
ENSMUSG00000003134,False
ENSMUSG00000003154,False
ENSMUSG00000003161,False
ENSMUSG00000003190,False
ENSMUSG00000003226,False
ENSMUSG00000003269,False
ENSMUSG00000003458,False
ENSMUSG00000003518,False
ENSMUSG00000003541,True
ENSMUSG00000003546,False
ENSMUSG00000003617,False
ENSMUSG00000003623,False
ENSMUSG00000003644,False
ENSMUSG00000003665,False
ENSMUSG00000003746,False
ENSMUSG00000003810,False
ENSMUSG00000003812,False
ENSMUSG00000003847,False
ENSMUSG00000003882,True
ENSMUSG00000004040,False
ENSMUSG00000004098,False
ENSMUSG00000004099,False
ENSMUSG00000004105,False
ENSMUSG00000004221,False
ENSMUSG00000004296,True
ENSMUSG00000004317,False
ENSMUSG00000004319,False
ENSMUSG00000004364,False
ENSMUSG00000004446,False
ENSMUSG00000004451,False
ENSMUSG00000004565,False
ENSMUSG00000004591,False
ENSMUSG00000004748,False
ENSMUSG00000004771,False
ENSMUSG00000004789,False
ENSMUSG00000004798,False
ENSMUSG00000004936,False
ENSMUSG00000004952,False
ENSMUSG00000004980,False
ENSMUSG00000004996,False
ENSMUSG00000005087,True
ENSMUSG00000005089,False
ENSMUSG00000005237,False
ENSMUSG00000005312,False
ENSMUSG00000005362,False
ENSMUSG00000005371,False
ENSMUSG00000005442,False
ENSMUSG00000005481,False
ENSMUSG00000005514,False
ENSMUSG00000005580,False
ENSMUSG00000005583,False
ENSMUSG00000005610,False
ENSMUSG00000005615,False
ENSMUSG00000005625,False
ENSMUSG00000005672,False
ENSMUSG00000005674,False
ENSMUSG00000005682,False
ENSMUSG00000005686,False
ENSMUSG00000005732,False
ENSMUSG00000005763,False
ENSMUSG00000005774,False
ENSMUSG00000005779,False
ENSMUSG00000005802,False
ENSMUSG00000005813,False
ENSMUSG00000005871,False
ENSMUSG00000005893,False
ENSMUSG00000005949,False
ENSMUSG00000005973,False
ENSMUSG00000005986,False
ENSMUSG00000006005,False
ENSMUSG00000006019,False
ENSMUSG00000006050,False
ENSMUSG00000006058,False
ENSMUSG00000006169,False
ENSMUSG00000006191,False
ENSMUSG00000006205,False
ENSMUSG00000006215,False
ENSMUSG00000006262,False
ENSMUSG00000006281,False
ENSMUSG00000006288,False
ENSMUSG00000006304,False
ENSMUSG00000006403,False
ENSMUSG00000006412,False
ENSMUSG00000006526,False
ENSMUSG00000006585,False
ENSMUSG00000006678,False
ENSMUSG00000006699,False
ENSMUSG00000006715,False
ENSMUSG00000006717,False
ENSMUSG00000006732,False
ENSMUSG00000006740,False
ENSMUSG00000006818,True
