ENSOCUG00000012231		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1T2W0]
ENSOCUG00000021536	BOK	BCL2-related ovarian killer [Source:HGNC Symbol;Acc:HGNC:1087]
ENSOCUG00000021116		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1THU3]
ENSOCUG00000011164	THAP4	THAP domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23187]
ENSOCUG00000002218	NPHP4	nephronophthisis 4 [Source:HGNC Symbol;Acc:HGNC:19104]
ENSOCUG00000021604	ATG4B	autophagy related 4B, cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:20790]
ENSOCUG00000023715		
ENSOCUG00000015888	FBXO31	F-box protein 31 [Source:HGNC Symbol;Acc:HGNC:16510]
ENSOCUG00000005955	DTYMK	deoxythymidylate kinase [Source:HGNC Symbol;Acc:HGNC:3061]
ENSOCUG00000009286	ZCCHC14	zinc finger, CCHC domain containing 14 [Source:HGNC Symbol;Acc:HGNC:24134]
ENSOCUG00000017547	CACNA1E	calcium channel, voltage-dependent, R type, alpha 1E subunit [Source:HGNC Symbol;Acc:HGNC:1392]
ENSOCUG00000024916	ING5	inhibitor of growth family member 5 [Source:HGNC Symbol;Acc:HGNC:19421]
ENSOCUG00000022982	D2HGDH	D-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:28358]
ENSOCUG00000025903		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TMA5]
ENSOCUG00000024667	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta [Source:HGNC Symbol;Acc:HGNC:1834]
ENSOCUG00000024984		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TZ17]
ENSOCUG00000003870	FGF19	fibroblast growth factor 19 [Source:HGNC Symbol;Acc:HGNC:3675]
ENSOCUG00000025043		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TNI1]
ENSOCUG00000000648		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SDR8]
ENSOCUG00000022970		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TR30]
ENSOCUG00000004955	GAL3ST2	galactose-3-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:24869]
ENSOCUG00000026128	PPP1R16A	protein phosphatase 1 regulatory subunit 16A [Source:HGNC Symbol;Acc:HGNC:14941]
ENSOCUG00000021920	NEU4	neuraminidase 4 (sialidase) [Source:HGNC Symbol;Acc:HGNC:21328]
ENSOCUG00000008973	ZER1	zyg-11 related, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:30960]
ENSOCUG00000023626	FOXH1	forkhead box H1 [Source:HGNC Symbol;Acc:HGNC:3814]
ENSOCUG00000022592	CATSPERD	catsper channel auxiliary subunit delta [Source:HGNC Symbol;Acc:HGNC:28598]
ENSOCUG00000008079	PDCD1	programmed cell death 1 [Source:HGNC Symbol;Acc:HGNC:8760]
ENSOCUG00000023225	CSF2RA	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage) [Source:HGNC Symbol;Acc:HGNC:2435]
ENSOCUG00000021815	KIFC2	kinesin family member C2 [Source:HGNC Symbol;Acc:HGNC:29530]
ENSOCUG00000029005	C1orf145	chromosome 1 open reading frame 145 [Source:HGNC Symbol;Acc:HGNC:32047]
ENSOCUG00000026272		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SEG4]
ENSOCUG00000023302		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1U7B0]
ENSOCUG00000026197		
ENSOCUG00000024934	IBA57	IBA57 homolog, iron-sulfur cluster assembly [Source:HGNC Symbol;Acc:HGNC:27302]
ENSOCUG00000007829	SLC17A9	solute carrier family 17 (vesicular nucleotide transporter), member 9 [Source:HGNC Symbol;Acc:HGNC:16192]
ENSOCUG00000026836		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1U076]
ENSOCUG00000024447	RTP5	receptor (chemosensory) transporter protein 5 (putative) [Source:HGNC Symbol;Acc:HGNC:26585]
ENSOCUG00000024517	GJC2	gap junction protein gamma 2 [Source:HGNC Symbol;Acc:HGNC:17494]
ENSOCUG00000011442		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1T1B4]
ENSOCUG00000001290	SYT12	synaptotagmin 12 [Source:HGNC Symbol;Acc:HGNC:18381]
ENSOCUG00000029360		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1U5L5]
ENSOCUG00000006273	ASPHD2	aspartate beta-hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30437]
ENSOCUG00000029066	TRPM2	transient receptor potential cation channel, subfamily M, member 2 [Source:HGNC Symbol;Acc:HGNC:12339]
ENSOCUG00000022377	TAF4	TATA-box binding protein associated factor 4 [Source:HGNC Symbol;Acc:HGNC:11537]
ENSOCUG00000027792	TMEM52	transmembrane protein 52 [Source:HGNC Symbol;Acc:HGNC:27916]
ENSOCUG00000027935	GUK1	guanylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:4693]
ENSOCUG00000006284	HPS4	Hermansky-Pudlak syndrome 4 [Source:HGNC Symbol;Acc:HGNC:15844]
ENSOCUG00000026172	UBE2V1	ubiquitin conjugating enzyme E2 variant 1 [Source:HGNC Symbol;Acc:HGNC:12494]
ENSOCUG00000023746		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TTJ3]
ENSOCUG00000015313	COX20	COX20 cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:26970]
ENSOCUG00000027832		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1U2E4]
ENSOCUG00000016872	TBC1D13	TBC1 domain family member 13 [Source:HGNC Symbol;Acc:HGNC:25571]
ENSOCUG00000022854		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1U883]
ENSOCUG00000025742	DMRTC2	DMRT-like family C2 [Source:HGNC Symbol;Acc:HGNC:13911]
ENSOCUG00000024419		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1TM85]
